,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      South Africa,,,,,,0.263158,,,,27.894737,,,3.947368,0.315789,,18.578947,,,2.947368,36.947368,11.789474,,0.368421,,,0.421053,3,0.315789,2.105263,22.684211,,3.157895,98.578947,,,67.526316,74.421053,,21.789474,,23.421053,,,,2.842105,0.315789,,616.473684,,3.052632,25.789474,,83.421053,,19.526316,620.578947,,,,24.052632,,22.736842,4.315789,,,,0.842105,,,0.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.052632,18.368421,0.368421,,0.368421,,,,1.315789,0.789474,,0.368421,,,10.315789,0.842105,,,,,,,,,,1.368421,169.684211,1.684211,0.631579,28.842105,,4.526316,,,,,36.263158,0.842105,57.736842,3.578947,,,,,28.263158,4.894737,104.736842,1705.947368,76.947368,143.105263,92.421053,197.421053,6.210526,74.368421,710.684211,,11.631579,0.263158,,6.263158,65.315789,73.105263,,,1.526316,,,,4.421053,,7.631579,,5.368421,,,1.052632,605.157895,16.736842,,,,,0.263158,,148.526316,
      Algeria,,,,1.263158,,,1.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,,4.842105,,,,2.421053,,,,1.263158,,,,,,,,,,,,,,,,,,,,,7.631579,,,,,,,,,,
      Libya,,0.263158,,0.315789,,1.578947,9.368421,,,,,2.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,,0.684211,,,,,4.368421,2.526316,0.947368,,,,,,,,,,,,5.052632,,,,,,,6.263158,0.894737,,,,,,,,,,,0.473684,,,,1.526316,1.157895,,,10.631579,,,,,,,,,,,,,,,,,,3.052632,,0.526316,,,,,,,,,,,
      Morocco,,32.789474,134.947368,,,,74.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,1.421053,1.105263,,,,,,,,,0.684211,,,,,,,,1.947368,,,3.736842,33.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789474,,,,,,,,,,,,,,,,,,0.736842,,,,,,,,,,,,,,,32.052632,0.315789,391.263158,8.157895,,8.789474,83.157895,36.157895,,13.421053,13.263158,,0.315789,,,,,0.263158,,,,,,,,,,,,,,1.736842,0.789474,,,,,,,,0.578947,
      Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,,,,,,,,
      Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,,1.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315789,,,,,,2.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Tunisia,,9.894737,147.947368,26.421053,,6.736842,,5.368421,,,,,,,,0.315789,,,,,,,1.210526,,,,,,,0.526316,,,,0.736842,1.052632,,,,,,,,,,,,,,,,,,,,,6.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.157895,,,11.210526,4.105263,5.473684,3,2.473684,3.315789,63.736842,,13.210526,7.736842,,,10.368421,,,,,,,,,,,,,,0.631579,,,,,,,,,,,,,4.736842,0.473684,168.157895,7.684211,,,24.473684,2.263158,,3.894737,182.368421,,5.315789,,,5.631579,,,,,2.157895,,,,,,2.105263,,,,,,,,,,,,,,4.263158,
      Egypt,,3.105263,23.263158,2.526316,,4.736842,5.789474,,,,,,,,,,,,,,,,,,0.789474,,,,,,,,,,0.684211,,,,,,,,,,,,,,,,,,,,,15.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.789474,2.421053,7.368421,,,4.315789,35.842105,23.578947,6.421053,10.210526,7.736842,138.368421,,2.578947,4.157895,,,8.052632,,,,,,,,,1,,0.473684,,,1.052632,,,,,,,,,,,,,,0.736842,9.368421,2.631579,,,6.736842,0.736842,,,288.736842,,3.421053,,,,0.631579,1,,,,,,0.263158,1.684211,,,,,,,0.631579,0.842105,,,,,,,,,
      North Africa nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Cameroon,3.684211,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,0.578947,,,,,,,,,,,,,,,,,,,,,,,1.894737,13.894737,,,,,,,,,,,,,,18.894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,0.368421,,28.526316,29.421053,,,2.894737,2.368421,,0.736842,14.473684,,2.631579,0.947368,,0.421053,0.789474,5.578947,,,,,,,0.421053,,,,,,,,0.473684,,,,,,,,,
