"","Liam Neeson ","Ewan McGregor","Natalie Portman","Jake Lloyd","Ian McDiarmid","Pernilla August","Oliver Ford Davies","Hugh Quarshie","Ahmed Best","Anthony Daniels","Kenny Baker","Frank Oz","Terence Stamp","Brian Blessed","Andy Secombe","Hayden Christensen","Christopher Lee","Samuel L. Jackson","Temuera Morrison","Jimmy Smits","Jack Thompson","Leeanna Walsman","Rose Byrne","Keisha Castle-Hughes","Silas Carson","Jay Laga'aia","Bruce Spence","Wayne Pygram","Mark Hamill","Harrison Ford","Carrie Fisher","Peter Cushing","Alec Guinness","Peter Mayhew","David Prowse","Phil Brown","Shelagh Fraser","Jack Purvis","Alex McCrindle","Eddie Byrne","Drewe Henley","Billy Dee Williams","Jeremy Bulloch","John Hollis","Des Webb","Clive Revill","Sebastian Shaw","James Earl Jones","Michael Pennington","Kenneth Colley"
"Liam Neeson ",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ewan McGregor",1,0,3,1,3,2,2,1,2,2,1,3,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Natalie Portman",1,3,0,1,3,2,2,1,2,2,1,3,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jake Lloyd",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ian McDiarmid",1,3,3,1,0,2,2,1,2,3,2,4,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"Pernilla August",1,2,2,1,2,0,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oliver Ford Davies",1,2,2,1,2,2,0,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hugh Quarshie",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmed Best",1,2,2,1,2,2,2,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Daniels",1,2,2,1,3,1,1,1,1,0,4,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,3,3,1,3,3,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
